Situação Contrato;Número Completo Contrato;Data Início;Data Final;Número Ano Mês Final;Código Contrato SIGGO Dimensão;Número NE Contrato;Número NL Contrato;Número OB Contrato;Objeto Contrato;Órgão;Valor Total do Contrato;Código UO - UG Criação Contrato;Valor Total Aditivo Montante
Em Execução;32/2015;10/12/2015 00:00;09/12/2016 00:00;201612;32775;2016NE01885;R/N        ;R/N        ;contratação de empresa especializada para execução de serviços de vigilância, segurança patrimonial e controle de circulação de pessoas.;TRANSPORTE URBANO DO DISTRITO FEDERAL - DFTRANS;5489896,44;26204 - 200203;13713094,92
Em Execução;27/2011;01/01/2012 00:00;31/12/2016 00:00;201612;22759;2015NE00174;2015NL00151;2015OB04055;regular, exclusivamente, segundo a estrutura da tarifa de ALTA TENS?âO CONVENCIONAL DO GRUPO A e SUBGRUPO A4, o fornecimento de energia el?®trica necess?íria ao funcionamento da seguinte unidade consumidora: Identifica?º?úo CEB 1.080.779-9, onde funciona a Penitenci?íria Feminina do Distrito Federal (PFDF), localizada na Granja Luiz Fernando ÔÇô Setor de Ch?ícaras Leste, Quadra 01 AE n??. 02 ÔÇô Setor Leste ÔÇô Gama-DF.;SECRETARIA DE SEGURANÇA PÚBLICA E DA PAZ SOCIAL;1000000;24101 - 220101;1493845,47
Em Execução;32/2015;10/12/2015 00:00;09/12/2016 00:00;201612;32775;2016NE01848;2016NL04249;R/N        ;contratação de empresa especializada para execução de serviços de vigilância, segurança patrimonial e controle de circulação de pessoas.;TRANSPORTE URBANO DO DISTRITO FEDERAL - DFTRANS;5489896,44;26204 - 200203;13713094,92
Em Execução;28/2015;23/12/2015 00:00;23/12/2016 00:00;201612;32808;2016NE00053;2016NL01348;R/N        ;O PRESENTE CONTRATO TEM POR OBJETO AQUISIÇÃO, POR DISPENSA DE LICITAÇÃO, DE MONTAGEM E FORNECIMENTO DE CESTAS DE ALIMENTOS COMPOSTOS PREFERENCIALMENTE DE FRUTAS, VERDURAS E LEGUMES (CESTA VERDE CONVENCIONAL, TIPO I E II) - (NÃO ORGÂNICA), CONFORME CONDIÇÕES, QUANTIDADES E ESPECIFICAÇÕES CONSTANTE NO PROJETO TÉCNICO DE DEMANDA QUE CONSTA NOS AUTOS E NA PROPOSTA TÉCNICA DE VENDA - PTV Nº 01/2015, PARA ATENDIMENTO AOS PROGRAMAS SOCIAIS DA SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO E SOCIAL DO DISTRITO FEDERAL - SEDHS/DF, PRODUZIDOS POR AGRICULTORES FAMILIARES RURAIS E URBANOS, OS DEMAIS BENEFÍCIOS E ORGANIZAÇÕES QUE SE ENQUADREM NAS DISPOSIÇÕES DA LEI FEDERAL Nº 11.326, DE 24 DE JULHO DE 2006, BEM COMO POVOS E COMUNIDADES TRADICIONAIS E OS BENEFÍCIOS DA REFORMA AGRÁRIA, PARA ATENDER A DEMANDA DA CONTRANTE, CONFORME CONDIÇÕES DEFINIDAS NA CHAMADA PÚBLICA 01/2015 E SEUS ANEXOS, OS QUAIS FICAM FAZENDO PARTE INTEGRANTE DO PRESENTE CONTRATO, INDEPENDNTEMENTE DE ANEXAÇÃO OU TRANSCRIÇÃO.;SEC. DE EST. DO TRABALHO E DO EMPREENDEDORISMO-DF;798360;25101 - 250101;0
Em Execução;28/2015;23/12/2015 00:00;23/12/2016 00:00;201612;32808;2016NE00053;2016NL03931;2016OB56663;O PRESENTE CONTRATO TEM POR OBJETO AQUISIÇÃO, POR DISPENSA DE LICITAÇÃO, DE MONTAGEM E FORNECIMENTO DE CESTAS DE ALIMENTOS COMPOSTOS PREFERENCIALMENTE DE FRUTAS, VERDURAS E LEGUMES (CESTA VERDE CONVENCIONAL, TIPO I E II) - (NÃO ORGÂNICA), CONFORME CONDIÇÕES, QUANTIDADES E ESPECIFICAÇÕES CONSTANTE NO PROJETO TÉCNICO DE DEMANDA QUE CONSTA NOS AUTOS E NA PROPOSTA TÉCNICA DE VENDA - PTV Nº 01/2015, PARA ATENDIMENTO AOS PROGRAMAS SOCIAIS DA SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO E SOCIAL DO DISTRITO FEDERAL - SEDHS/DF, PRODUZIDOS POR AGRICULTORES FAMILIARES RURAIS E URBANOS, OS DEMAIS BENEFÍCIOS E ORGANIZAÇÕES QUE SE ENQUADREM NAS DISPOSIÇÕES DA LEI FEDERAL Nº 11.326, DE 24 DE JULHO DE 2006, BEM COMO POVOS E COMUNIDADES TRADICIONAIS E OS BENEFÍCIOS DA REFORMA AGRÁRIA, PARA ATENDER A DEMANDA DA CONTRANTE, CONFORME CONDIÇÕES DEFINIDAS NA CHAMADA PÚBLICA 01/2015 E SEUS ANEXOS, OS QUAIS FICAM FAZENDO PARTE INTEGRANTE DO PRESENTE CONTRATO, INDEPENDNTEMENTE DE ANEXAÇÃO OU TRANSCRIÇÃO.;SEC. DE EST. DO TRABALHO E DO EMPREENDEDORISMO-DF;798360;25101 - 250101;0
Em Execução;27/2011;01/01/2012 00:00;31/12/2016 00:00;201612;22759;2014NE00023;2014NL01145;2014OB33408;regular, exclusivamente, segundo a estrutura da tarifa de ALTA TENS?âO CONVENCIONAL DO GRUPO A e SUBGRUPO A4, o fornecimento de energia el?®trica necess?íria ao funcionamento da seguinte unidade consumidora: Identifica?º?úo CEB 1.080.779-9, onde funciona a Penitenci?íria Feminina do Distrito Federal (PFDF), localizada na Granja Luiz Fernando ÔÇô Setor de Ch?ícaras Leste, Quadra 01 AE n??. 02 ÔÇô Setor Leste ÔÇô Gama-DF.;SECRETARIA DE SEGURANÇA PÚBLICA E DA PAZ SOCIAL;1000000;24101 - 220101;1493845,47
Em Execução;28/2015;23/12/2015 00:00;23/12/2016 00:00;201612;32808;2016NE00053;2016NL04339;R/N        ;O PRESENTE CONTRATO TEM POR OBJETO AQUISIÇÃO, POR DISPENSA DE LICITAÇÃO, DE MONTAGEM E FORNECIMENTO DE CESTAS DE ALIMENTOS COMPOSTOS PREFERENCIALMENTE DE FRUTAS, VERDURAS E LEGUMES (CESTA VERDE CONVENCIONAL, TIPO I E II) - (NÃO ORGÂNICA), CONFORME CONDIÇÕES, QUANTIDADES E ESPECIFICAÇÕES CONSTANTE NO PROJETO TÉCNICO DE DEMANDA QUE CONSTA NOS AUTOS E NA PROPOSTA TÉCNICA DE VENDA - PTV Nº 01/2015, PARA ATENDIMENTO AOS PROGRAMAS SOCIAIS DA SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO E SOCIAL DO DISTRITO FEDERAL - SEDHS/DF, PRODUZIDOS POR AGRICULTORES FAMILIARES RURAIS E URBANOS, OS DEMAIS BENEFÍCIOS E ORGANIZAÇÕES QUE SE ENQUADREM NAS DISPOSIÇÕES DA LEI FEDERAL Nº 11.326, DE 24 DE JULHO DE 2006, BEM COMO POVOS E COMUNIDADES TRADICIONAIS E OS BENEFÍCIOS DA REFORMA AGRÁRIA, PARA ATENDER A DEMANDA DA CONTRANTE, CONFORME CONDIÇÕES DEFINIDAS NA CHAMADA PÚBLICA 01/2015 E SEUS ANEXOS, OS QUAIS FICAM FAZENDO PARTE INTEGRANTE DO PRESENTE CONTRATO, INDEPENDNTEMENTE DE ANEXAÇÃO OU TRANSCRIÇÃO.;SEC. DE EST. DO TRABALHO E DO EMPREENDEDORISMO-DF;798360;25101 - 250101;0
Em Execução;28/2015;23/12/2015 00:00;23/12/2016 00:00;201612;32808;2016NE00053;2016NL00400;R/N        ;O PRESENTE CONTRATO TEM POR OBJETO AQUISIÇÃO, POR DISPENSA DE LICITAÇÃO, DE MONTAGEM E FORNECIMENTO DE CESTAS DE ALIMENTOS COMPOSTOS PREFERENCIALMENTE DE FRUTAS, VERDURAS E LEGUMES (CESTA VERDE CONVENCIONAL, TIPO I E II) - (NÃO ORGÂNICA), CONFORME CONDIÇÕES, QUANTIDADES E ESPECIFICAÇÕES CONSTANTE NO PROJETO TÉCNICO DE DEMANDA QUE CONSTA NOS AUTOS E NA PROPOSTA TÉCNICA DE VENDA - PTV Nº 01/2015, PARA ATENDIMENTO AOS PROGRAMAS SOCIAIS DA SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO E SOCIAL DO DISTRITO FEDERAL - SEDHS/DF, PRODUZIDOS POR AGRICULTORES FAMILIARES RURAIS E URBANOS, OS DEMAIS BENEFÍCIOS E ORGANIZAÇÕES QUE SE ENQUADREM NAS DISPOSIÇÕES DA LEI FEDERAL Nº 11.326, DE 24 DE JULHO DE 2006, BEM COMO POVOS E COMUNIDADES TRADICIONAIS E OS BENEFÍCIOS DA REFORMA AGRÁRIA, PARA ATENDER A DEMANDA DA CONTRANTE, CONFORME CONDIÇÕES DEFINIDAS NA CHAMADA PÚBLICA 01/2015 E SEUS ANEXOS, OS QUAIS FICAM FAZENDO PARTE INTEGRANTE DO PRESENTE CONTRATO, INDEPENDNTEMENTE DE ANEXAÇÃO OU TRANSCRIÇÃO.;SEC. DE EST. DO TRABALHO E DO EMPREENDEDORISMO-DF;798360;25101 - 250101;0
Em Execução;15/2016;07/06/2016 00:00;03/12/2016 00:00;201612;33381;2016NE00639;2016NL03186;R/N        ;CONTRATAÇÃO  DA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DOS SISTEMAS METROVIÁRIOS, CORRESPONDENTES AO LOTE 02 - SINALIZAÇÃO, CONTROLE, TELECOMUNICAÇÕES E VENTILAÇÃO (SCT/VT), CONFORME DEFINIDO NO PROJETO BÁSICO.;COMPANHIA DO METROPOLITANO DO DF - METRÔ-DF;4474513,78;26206 - 200204;0
Encerrado;27/2011;01/01/2012 00:00;31/12/2016 00:00;201612;22759;2015NE00174;2015NL00758;2015OB19437;regular, exclusivamente, segundo a estrutura da tarifa de ALTA TENS?âO CONVENCIONAL DO GRUPO A e SUBGRUPO A4, o fornecimento de energia el?®trica necess?íria ao funcionamento da seguinte unidade consumidora: Identifica?º?úo CEB 1.080.779-9, onde funciona a Penitenci?íria Feminina do Distrito Federal (PFDF), localizada na Granja Luiz Fernando ÔÇô Setor de Ch?ícaras Leste, Quadra 01 AE n??. 02 ÔÇô Setor Leste ÔÇô Gama-DF.;SECRETARIA DE SEGURANÇA PÚBLICA E DA PAZ SOCIAL;1000000;24101 - 220101;1493845,47
